objectid,filename,title,creator,date,archival_date,description,subject,location,latitude,longitude,source,source_link,identifier,type,format,language,rights,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
prr36,,Unique longview perspective of Panama Station before the Monumento a los Bomberos,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"Predates the 1916 Monumento a los Bomberos, where instead a flagpole stands. ",Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121570/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/15/70/00001/Document_20190717_0018_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/15/70/00001/Document_20190717_0018_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/15/70/00001/Document_20190717_0018_0001.jpg,,
prr37,,Colon Station with Royal Mail and Packet Company building,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"Depicts the Royal Mail and Packet Company building. A ship, Prinz Kitel-Friedrich, is in the background.",Station,Colon,9.35829,-79.90516,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00122633/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/26/33/00001/Document_20190617_0002_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/26/33/00001/Document_20190617_0002_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/26/33/00001/Document_20190617_0002_0001.jpg,,
prr38,,Gamboa Bridge,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"Railway tracks are on the Gamboa bridge. The bridge spans the Chagres River right at the point where it flows into the Panama Canal's Gatun Lake.  While the old bridge remains an iconic historic landmark, a newer, wider two-lane concrete bridge was constructed directly alongside it to accommodate modern traffic entering the town.",Train trip,Gamboa,9.1175,-79.6983,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00118684/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/86/84/00001/Document_20190621_0017.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/86/84/00001/Document_20190621_0017.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/86/84/00001/Document_20190621_0017.jpg,,
prr39,,Pollera in front of Panama City station,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,Two Panamanian people standing across the street from the Panama Railroad station in Panama City.,Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121482/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/82/00001/Document_20190717_0038.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/82/00001/Document_20190717_0038.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/82/00001/Document_20190717_0038.jpg,,
prr40,,Old wooden Colon Station,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"Several sailors walking along Front Street. Possibly the old wooden Colon train station which would make this image pre-1909. However, it may not show the station at all, but just buildings on Front Street in Colon. Note the American flag hanging off the building. ",Station,Colon,9.35829,-79.90516,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00117755/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/77/55/00001/Document_20190718_0009.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/77/55/00001/Document_20190718_0009.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/77/55/00001/Document_20190718_0009.jpg,,
prr41,,Empire train station,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,A possible Canal Zone police officer outside the Empire train station. The town of Empire was flooded for the Canal,Station; Pueblos Perdidos,Empire,9.088,-79.722,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00118766/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/87/66/00001/Document_20190621_0022_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/87/66/00001/Document_20190621_0022_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/87/66/00001/Document_20190621_0022_0001.jpg,,
prr42,,Panama City Station with Chiva buses and an early Diablo Rojo,"Foto Flatau (Creator)
Wilde, Bradley (Donor)",unknown,Circa 1900-1950,Also includes advertisments including Cerveza Atlas. Likely around mid-century.,Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121564/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/15/64/00001/Document_20190717_0015_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/15/64/00001/Document_20190717_0015_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/15/64/00001/Document_20190717_0015_0001.jpg,,
prr43,,A bridge built for the Relocation of the Panama Railroad,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,,Railroad construction; Canal construc,Paraiso,9.0331,-79.6275,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00119018/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/18/00001/Document_20190717_0002.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/18/00001/Document_20190717_0002.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/18/00001/Document_20190717_0002.jpg,,
prr44,,Special viewing car,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,Depicts a group of people standing near a special viewing car for the Panama Railroad. Possibly for canal construction tourism?,Canal construction,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00120174/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/01/74/00001/Document_20190723_0075.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/01/74/00001/Document_20190723_0075.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/01/74/00001/Document_20190723_0075.jpg,,
prr45,,Panama Railroad Administration Building,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"Originally built to support the Panama Railroad and the Panama Canal Company, it served as a primary administrative hub and courthouse on the Atlantic side of the Canal Zone.",,Cristobal,9.35328,-79.90457,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00117478/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/74/78/00001/Document_20190718_0057.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/74/78/00001/Document_20190718_0057.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/74/78/00001/Document_20190718_0057.jpg,,
